id,axis,text,weight,direction,reversed,secondary_axis,secondary_weight,scoring_hint,design_note
q01,W,"一度決めたことは、周囲の反対があっても最後まで貫き通す",1.4,1,FALSE,L,0.3,高得点→高W / 副→高L,意志の強さ・目標持続力。論理的一貫性にも寄与
q02,E,"感情を率直に言葉や表情に出すことに、抵抗を感じない",1.4,1,FALSE,,,高得点→高E,感情の外向的表出。E1機能の典型指標
q03,L,"問題に直面したとき、まず情報を整理して論理的に分析する",1.4,1,FALSE,W,0.3,高得点→高L / 副→高W,分析志向。主導的問題解決行動はWにも寄与
q04,F,"身体的な感覚（疲れ・痛み・快感）に敏感で、よく意識する",1.3,1,FALSE,,,高得点→高F,身体感覚への注目度。F1機能の中核指標
q05,W,"重要な決断をするとき、他者の承認が得られるまで行動を保留することが多い",1.2,-1,TRUE,,,高得点→低W（逆転）,意志の自律性欠如。低W（W3/W4）の行動パターン
q06,E,"場の雰囲気や他者の感情の変化に、敏感に気づく方だ",1.2,1,FALSE,F,0.3,高得点→高E / 副→高F,感情的知覚。身体的・直感的センサリーとも重複
q07,L,"複雑な事柄を、体系的に構造化して考えることが得意だ",1.5,1,FALSE,,,高得点→高L,構造化思考能力。主軸最大重み（1.5）の弁別力が高い指標
q08,F,"食事・睡眠・空間の心地よさなど、物質的な環境を整えることを大切にしている",1.2,1,FALSE,,,高得点→高F,物質的快適さへの配慮。F軸の実用的側面
q09,W,"困難な状況でも、自分の内面の力で乗り越えられると感じる",1.3,1,FALSE,,,高得点→高W,内的意志力・自己効力感。W1/W2の特徴
q10,E,"感情的な表現よりも、事実や論理で物事を伝えることを好む",1.1,-1,TRUE,,,高得点→低E（逆転）,低E（E3/E4）の伝達スタイル。逆転：第2ラウンド早期配置
q11,L,"データや根拠のない主張よりも、論理的な根拠に基づく議論を好む",1.3,1,FALSE,,,高得点→高L,論拠重視の議論姿勢。L1/L2の典型的価値観
q12,F,"体の状態を無視してでも、アイデアや思考に没頭することが多い",1.0,-1,TRUE,,,高得点→低F（逆転）,F軸軽視パターン（F3/F4）。低重み・逆転で適度な弁別
q13,W,"物事の方向性を他者に委ねることに、居心地の悪さを感じる",1.3,1,FALSE,,,高得点→高W,意志の主導欲求。他者依存への心理的抵抗
q14,E,"相手の気持ちに共感したとき、自分の感情も同じように動く",1.3,1,FALSE,F,0.3,高得点→高E / 副→高F,感情的共鳴・身体的共感（ミラー的反応）
q15,L,"効率や合理性よりも、感情や気分を優先して行動することが多い",1.0,-1,TRUE,,,高得点→低L（逆転）,論理・効率より感情優先。L軸軽視（L3/L4）の行動傾向
q16,F,"美しいものや心地よいものに囲まれた環境が、自分のパフォーマンスに大きく影響する",1.2,1,FALSE,E,0.3,高得点→高F / 副→高E,審美的感受性。感情的な快感覚とも重複
q17,W,"他人から「こうすべき」と強く言われると、むしろ反発したくなる",1.0,1,FALSE,,,高得点→高W,心理的リアクタンス（反発）。W機能の独立性・抵抗性
q18,E,"自分の内側で何かが揺れているとき、それを表現せずにはいられない",1.3,1,FALSE,,,高得点→高E,感情の内的圧力と外向表出衝動。E1の強い特徴
q19,L,"矛盾や論理的な誤りに気づくと、そのままにしておくことができない",1.1,1,FALSE,,,高得点→高L,論理的整合性への強いこだわり。L1の典型
q20,F,"体を動かすこと（運動・手作業・散歩）で、気持ちが整うことが多い",1.1,1,FALSE,,,高得点→高F,身体活動による情動調整。F軸の身体性
q21,W,"自分の価値観や信念は、状況が変わっても揺らぎにくい",1.2,1,FALSE,L,0.3,高得点→高W / 副→高L,価値観の一貫性・頑固さ。論理的原理性とも関連
q22,E,"喜びや悲しみを周囲と共有したいという欲求が強い",1.2,1,FALSE,,,高得点→高E,感情共有欲求。E軸の社会的・関係的側面
q23,L,"直感や感覚よりも、順序立てた思考プロセスを信頼する",1.2,1,FALSE,,,高得点→高L,系統的思考への信頼。直感（F）より論理（L）重視
q24,F,"感覚的な経験（味・音・手触り）を細かく味わうことが多い",1.2,1,FALSE,,,高得点→高F,多感覚への注意・審美的受容。F軸の感覚的側面
q25,W,"長期的な目標よりも、その場の流れに身を任せることの方が多い",1.1,-1,TRUE,,,高得点→低W（逆転）,目標志向性の欠如。低W（W3/W4）の生活スタイル
q26,E,"感情的になっている人を見ると、関与せず距離を置きたくなる",1.0,-1,TRUE,,,高得点→低E（逆転）,感情的場面への回避。低E（E3/E4）の対人スタイル
q27,L,"新しい概念や仕組みを学ぶとき、原理・原則から理解しようとする",1.2,1,FALSE,,,高得点→高L,原理主義的学習スタイル。L1/L2の知的アプローチ
q28,F,"実際に手を動かして体験することで、物事をより深く理解できる",1.2,1,FALSE,L,0.3,高得点→高F / 副→高L,体験的理解・実践知。論理的構造化とも重複
q29,W,"自分の意志よりも、周囲の期待や意向を優先して行動することが多い",1.2,-1,TRUE,,,高得点→低W（逆転）,意志の外部依存。W機能の弱さを直接問う最終逆転項目
q30,E,"感情よりも理性が、自分の最終的な判断をコントロールしていると感じる",1.1,-1,TRUE,,,高得点→低E（逆転）,感情よりも理性優先（低E）の判断スタイル
q31,L,"思いつきやその場の勢いで行動することが多い",1.0,-1,TRUE,,,高得点→低L（逆転）,衝動的行動傾向。低L（L3/L4）の意思決定スタイル
q32,F,"物事の実用性や具体的な感触よりも、抽象的なアイデアや概念を重視する",1.0,-1,TRUE,,,高得点→低F（逆転）,抽象指向・具体感覚の軽視。低F（F3/F4）の認知スタイル
